B (mm),H (mm),t (mm),L (mm),fy (MPa),"converted fc,cyl",N Test (kN)
100,100,4,400,239.8,32.4,980
100,100,4,400,239.8,32.4,980
100,100,4,400,239.8,32.4,1000
100,100,4,400,239.8,32.4,1019
100,100,2,400,284.6,32.4,588
100,100,2,400,284.6,32.4,656.6
100,100,2,400,284.6,32.4,666.4
100,100,2,400,284.6,32.4,696
100,100,2,400,284.6,32.4,705.6
100,100,2,400,284.6,32.4,725
100,100,2,400,284.6,32.4,745
100,100,2,400,284.6,32.4,745
100,100,3,400,288.2,32.4,833
100,100,3,400,288.2,32.4,852
100,100,3,400,288.2,32.4,872
100,100,3,400,288.2,32.4,882
100,100,3,400,288.2,32.4,882
100,100,3,400,288.2,32.4,891
100,100,3,400,288.2,32.4,892
100,100,3,400,288.2,32.4,931
100,100,5,400,403.4,32.4,1068
100,100,5,400,403.4,32.4,1195
100,100,5,400,403.4,32.4,1244.6
100,100,5,400,403.4,32.4,1244.6
100,100,5,400,403.4,32.4,1274
100,100,5,400,403.4,32.4,1274
100,100,5,400,403.4,32.4,1294
100,100,5,400,403.4,32.4,1294
100,100,5,400,403.4,32.4,1313
100,100,5,400,403.4,32.4,1313
100,100,5,400,403.4,32.4,1323
114.9,114.9,4.39,406,258,32.6,897
114.3,114.3,9.63,406,258,32.6,2442
80.9,80.9,1.6,240,279.9,32.9,347
80.2,80.2,1.59,240,279.9,32.9,353
110,110,1.54,330,279.9,32.9,510
109.8,109.8,1.53,330,279.9,32.9,522
250,250,8,500,379,33,4870
150,150,0.7,480,245.17,33.73,747.27
150,200,1.4,480,245.17,33.73,1172.88
150,150,1.4,800,245.17,35.3,973.8
150,200,2.1,800,245.17,35.3,1268
200,200,7.8,796,238.3,35.7,2590
199,199,7.83,797,238.3,35.7,2700
80,120,5,200,357.5,35.7,850
198,198,5.66,796,234.7,35.9,2330
198,198,5.96,797,234.7,36,2800
200,200,4.93,796,294,36,2439
200,200,4.92,796,294,36,2465
80,120,5,200,362.6,36,955
88.1,88.1,1.76,269,115,36.1,299
101.7,101.7,2.32,300,145,36.1,415
153,153,3.31,456,148,36.1,915
76,76,3.09,228,199,36.1,275
199,199,3.99,796,279,36.2,2100
200,200,3.96,796,279,36.4,2100
198,198,5.69,796,234.7,36.5,2190
149,149,7.58,598,238.3,36.6,1750
149,149,7.67,596,238.3,36.6,1845
149,149,7.67,596,238.3,36.6,1850
200,200,5,600,227,36.8,2468
300,300,5,900,227,36.8,4872
150,150,4.95,594,294.9,36.9,1630
150,150,4.93,595,294.9,36.9,1645
150,150,4.96,595,294.9,36.9,1650
149,149,3.91,598,279,37,1300
149,149,3.96,598,279,37,1340
149,149,3.94,597,279,37,1350
150,150,1.52,595,246.7,37.1,905
99,99,4.9,398,294.9,37.1,960
150,150,1.6,598,246.7,37.4,950
149,149,1.47,596,246.7,37.4,1000
99,99,4.92,397,294.9,37.4,980
98,98,5.74,399,234.7,37.9,950
99,99,5.84,398,234.7,37.9,950
99,99,4.86,399,294.9,37.9,900
99,99,5.85,395,234.7,38,850
99,99,7.82,397,238.3,38,1000
100,100,7.78,398,238.3,38,1050
99,99,7.72,396,238.3,38,1100
246,246,3,300,300,38,2200
306,306,3,300,300,38,2519
246,246,3,720,300,38,3095
306,306,3,900,300,38,4000
306,306,3,900,300,38,4253
306,306,3,900,300,38,4495
306,306,3,900,300,38,4581
200,200,6,695,485,38,3452
200,200,6,695,485,38,3488
100,150,5,200,346.7,38.3,1200
100,150,5,100,346.7,38.3,1340
100,150,5,200,346.7,38.5,1210
100,150,5,100,346.7,38.5,1370
100,150,5,200,340,38.7,1190
100,150,5,100,340,38.7,1300
80,120,5,200,341,38.8,900
120,120,8,500,323,39,1550
120,120,8,500,323,39,1550
120,120,8,500,379,39,1800
120,120,8,500,379,39,1800
210,210,4.5,630,277,39.1,2713
210,210,4.5,630,277,39.1,2714
210,210,5.48,630,294,39.1,3183
210,210,5.48,630,294,39.1,3184
80,120,5,200,362.6,39.1,950
211,211,8.83,633,536,39.1,5898
211,211,8.83,633,536,39.1,5900
204,204,5.95,612,540,39.1,4026
204,204,5.95,612,540,39.1,4027
180,180,6.6,540,824,39.1,5028
180,180,9.45,540,825,39.1,6803
180,180,9.45,540,825,39.1,6805
100,150,5,200,340,39.6,1200
100,150,5,100,340,39.6,1320
126,126,3,300,300,40,950
300,300,6,1050,369,40,6298
400,400,6,1400,369,40,8802
251.1,251.1,3.73,750,324.3,40.4,2677
251,251,3.75,750,324.3,40.4,2832
249.6,249.6,3.7,750,324.3,40.4,3131
100,150,4,300,270.84,40.41,912
148,148,4.38,444,262,40.5,1402
148,148,4.38,444,262,40.5,1402
148,148,4.38,444,262,40.5,1414
148,148,4.38,444,262,40.5,1414
80,120,5,200,341,40.5,920
144,144,6.36,432,618,40.5,2765
144,144,6.36,432,618,40.5,2765
144,144,6.36,432,618,40.5,2808
144,144,6.36,432,618,40.5,2808
211,211,6.36,633,618,40.5,4428
211,211,6.36,633,618,40.5,4428
211,211,6.36,633,618,40.5,4484
211,211,6.36,633,618,40.5,4484
120,120,6.47,360,835,40.5,2957
120,120,6.47,360,835,40.5,2957
120,120,6.47,360,835,40.5,2961
120,120,6.47,360,835,40.5,2961
175,175,6.47,525,835,40.5,4493
175,175,6.47,525,835,40.5,4493
175,175,6.47,525,835,40.5,4542
175,175,6.47,525,835,40.5,4542
250,250,2.5,750,338,40.64,3190
60,60,2,180,404,40.72,318
60,60,2,180,404,40.72,322
100,100,2,300,404,40.72,770
100,100,2,300,404,40.72,772
150,150,2,450,404,40.72,1300
150,150,2,450,404,40.72,1420
200,200,2,600,404,40.72,1990
200,200,2,600,404,40.72,2054
250,250,2,750,404,40.72,2965
250,250,2,750,404,40.72,3100
76.2,76.2,3.35,254,324.05,40.85,511.55
250,250,2.5,750,338,40.96,3150
215,215,4.38,645,262,41.1,2393
215,215,4.38,645,262,41.1,2393
215,215,4.38,645,262,41.1,2424
215,215,4.38,645,262,41.1,2424
323,323,4.38,969,262,41.1,4830
323,323,4.38,969,262,41.1,4830
323,323,4.38,969,262,41.1,4950
323,323,4.38,969,262,41.1,5950
318,318,6.36,954,618,41.1,7473
318,318,6.36,954,618,41.1,7473
319,319,6.36,957,618,41.1,7780
319,319,6.36,957,618,41.1,7780
265,265,6.47,795,835,41.1,7117
264,264,6.47,792,835,41.1,7117
265,265,6.47,795,835,41.1,7172
265,265,6.47,795,835,41.1,7172
149.3,149.3,3.63,450,279.9,41.8,1771
149.3,149.3,3.63,450,279.9,41.8,1785
103,121,7.69,363,423.2,43.2,2545
119,179,7.69,542,423.2,43.2,3130
101,203,8.28,607,488.38,43.2,3090
119,183,8.28,541,488.38,43.2,3300
150,150,8.28,453,488.38,43.2,3500
100,120,5.7,361,514.53,43.2,1960
121,182,5.7,540,514.53,43.2,2485
152,153.4,6.17,300,377,43.6,3317
200.5,100.5,2.97,402,392,44.8,2160
150.4,150,3,400.6,392,44.8,2300
150.2,150.2,2.98,401,392,44.8,2360
200.3,100.5,1.98,400,413,44.8,1980
150.3,149.9,1.98,399.5,413,44.8,2046
150.1,149.8,2,400.1,413,44.8,2200
143.1,143.1,3.02,420,255.1,44.9,1150
142.1,142.1,3.02,420,255.1,44.9,1360
142.1,142.1,3.02,420,255.1,44.9,1400
140.9,140.9,2.02,420,305.1,44.9,1280
142.1,142.1,2.01,420,305.1,44.9,1328
142.1,142.1,2.01,420,305.1,44.9,1364
152.4,152.4,8.95,300,432,45.4,3307
120,120,8,500,300,46,1670
120,120,8,500,300,46,1670
120,120,5,500,438,46,1690
120,120,5,500,438,46,1690
99.9,99.9,4,301,333,46.08,830
100,100,4.1,301,333,46.08,880
101,101,9.6,302,400,46.08,1800
152.4,152.4,4.43,300,389,46.2,1906
99.7,99.7,4.7,301,289,46.56,1000
190,190,2.5,570,270,46.64,2140
250,250,2.5,750,270,46.64,3495
125,125,3,300,296.06,46.67,824.5
125,125,4,300,342.59,46.67,1159.2
200,200,3,603,303.5,46.8,2284
200,200,3,600,303.5,46.8,2284
200,200,3,602,303.5,46.8,2306
200,200,3,600,303.5,46.8,2306
200,200,3,600,303.5,46.8,2458
200,200,3,600,303.5,46.8,2458
200,200,3,604,303.5,46.8,2550
200,200,3,600,303.5,46.8,2550
200,200,3,605,303.5,46.8,2587
200,200,3,600,303.5,46.8,2587
200,200,3,601,303.5,46.8,2594
200,200,3,600,303.5,46.8,2594
120,120,5,500,304,47,1440
120,120,5,500,304,47,1440
120,120,8,500,376,47,1990
120,120,8,500,376,47,1990
152.2,153,9.04,300,394,47.2,4208
80,140,2.86,420,228,47.44,740
85,130,2.86,390,228,47.44,760
85,130,2.86,390,228,47.44,820
80,140,2.86,420,228,47.44,880
250,250,1.87,750,282,48,3304
250,250,1.87,750,282,48,3400
100.7,162.7,2.97,480,255.1,49.4,1080
105.9,161.4,2.96,480,255.1,49.4,1420
105.7,158.2,2.93,480,255.1,49.4,1440
126,160.3,2.92,480,255.1,49.4,1560
120.2,166.3,2.94,480,255.1,49.4,1580
126.2,161,2.98,480,255.1,49.4,1580
101.5,162.9,2,480,305.1,49.4,1068
100.3,163.9,1.99,480,305.1,49.4,1080
102.7,160.8,2.04,480,305.1,49.4,1080
124.3,161.5,2,480,305.1,49.4,1320
122.7,160.2,2.03,480,305.1,49.4,1400
119.4,160.1,2.01,480,305.1,49.4,1420
101.3,101.3,4.97,300,347.3,49.4,1310
103.6,103.6,4.9,300,347.3,49.4,1340
102,102,4.97,300,347.3,49.4,1370
101.6,130.3,5.03,390,347.3,49.4,1580
102.3,130.3,5.14,390,347.3,49.4,1600
102.3,130.3,5.14,390,347.3,49.4,1640
104.4,158.8,4.85,480,347.3,49.4,1820
103.3,159.1,4.8,480,347.3,49.4,1875
102.4,156.7,4.8,480,347.3,49.4,1915
142,142,5.11,420,347.3,49.4,2160
142,142,5.08,420,347.3,49.4,2250
121.6,188.4,4.88,480,347.3,49.4,2260
141.4,141.4,5.07,420,347.3,49.4,2280
135.3,170.8,5.07,510,347.3,49.4,2470
136.1,167.4,5.13,480,347.3,49.4,2510
120.4,190.9,4.83,570,347.3,49.4,2510
121.7,189.6,4.81,570,347.3,49.4,2680
121,194.8,4.72,570,347.3,49.4,2700
