B (mm),H (mm),t (mm),L (mm),fy (MPa),"converted fc,cyl",N Test (kN)
76,76,3.09,228,199,36.1,275
88.1,88.1,1.76,269,115,36.1,299
60,60,2,180,404,40.72,318
60,60,2,180,404,40.72,322
80.9,80.9,1.6,240,279.9,32.9,347
60,60,1.87,180,282,64.8,350
80.2,80.2,1.59,240,279.9,32.9,353
75.8,75.8,3.09,227,199,74.4,374
75.9,75.9,3.09,228,199,74.4,382
60,60,1.87,180,282,64.8,382
60,60,2,180,404,64.8,406
100.2,100.2,2.18,300,300,25.7,411
101.7,101.7,2.32,300,145,36.1,415
60,60,2,180,404,64.8,422
65,75,3,250,350,52,434
88,88,1.76,264,115,74.4,467
100,100,2.29,300,194.2,32,497.4
100,100,2.29,300,194.2,32,498
65,65,3,250,350,79,502
110,110,1.54,330,279.9,32.9,510
100,100,2.2,300,339.4,21.4,510
100,100,2.2,300,339.4,21.4,511
76.2,76.2,3.35,254,324.05,40.85,511.55
76,76,3.09,228,199,108.6,514
109.8,109.8,1.53,330,279.9,32.9,522
100,100,2.99,300,288.4,20.6,528
100,100,2.99,300,288.4,20.6,529
90,135,2.65,540,340.1,17.6,552
150,150,0.7,480,245.17,22.56,558
75,65,3,250,370,52,568
90,135,2.65,540,340.1,17.6,570
60,120,2.93,600,293.5,27.44,570
90,135,2.65,540,340.1,17.6,580
100,100,2,400,284.6,32.4,588
90,135,2.65,540,340.1,17.6,592
100.2,100.2,2.18,300,300,25.7,609
150,150,0.7,800,245.17,22.56,611.93
120,120,2.65,360,340,12.2,635
120,120,2.65,360,340,16.08,640
101.6,101.6,2.32,300,145,74.4,651
100,100,2,400,284.6,32.4,656.6
148,148,1.57,598,246.7,25.8,660
120,120,2.65,360,340,16.08,664
100,100,4.25,300,284.5,19.8,666
100,100,2,400,284.6,32.4,666.4
100,100,4.25,300,284.5,19.8,667
100,100,4.2,302,333,27.76,680
75,75,3,250,370,79,684
130,130,2.65,780,340.1,17.6,690
100,100,2,400,284.6,32.4,696
100,100,2.18,300,300,53.7,697
100.1,100.1,4.2,301,333,27.76,700
150,200,0.7,800,245.17,22.56,705.1
100,100,2,400,284.6,32.4,705.6
149,149,1.64,595,246.7,25.9,710
150,150,1.4,800,245.17,22.56,711.96
88,88,1.76,264,115,108.6,722
100,100,2,400,284.6,32.4,725
130,130,2.65,780,340.1,17.6,739
80,140,2.86,420,228,47.44,740
100,100,2,400,284.6,32.4,745
100,100,2,400,284.6,32.4,745
150,150,0.7,480,245.17,33.73,747.27
85,130,2.86,390,228,47.44,760
130,130,2.65,780,340.1,17.6,760
130,130,2.65,780,340.1,17.6,770
100,100,2,300,404,40.72,770
100,100,2,300,404,40.72,772
120,120,2.65,360,340,21.9,778
99.8,99.8,4.8,302,289,25.52,780
101.1,101.1,2.18,300,300,61,783
150,150,2.1,800,245.17,22.56,793.36
150,200,0.7,480,245.17,22.56,795.32
99.9,99.9,4.9,301,289,24.64,800
120,120,2.65,360,340,28.8,812
120,120,2.65,360,340,28.8,816
76.6,152.3,3,635,430,30.5,819
85,130,2.86,390,228,47.44,820
