B (mm),H (mm),t (mm),L (mm),fy (MPa),"converted fc,cyl",N Test (kN)
180,180,6.6,540,824,39.1,5028
180,180,6.6,540,824,31.1,5030
300.5,300.5,6.1,902,395,26.5,5102
199.01,199.01,4.92,660,762,113,5184
204,204,5.95,612,540,91.1,5303
204,204,5.95,612,540,91.1,5305
175,175,6.47,525,835,77,5366
175,175,6.47,525,835,77,5366
300.6,300.6,6.1,902,395,58.9,5481
198.71,198.71,4.92,660,762,113,5604
211,211,6.36,633,618,77,5758
211,211,6.36,633,618,77,5758
180,180,6.6,540,824,91.1,5873
180,180,6.6,540,824,91.1,5875
211,211,8.83,633,536,39.1,5898
211,211,8.83,633,536,39.1,5900
150,150,12.5,450,446,157.2,5911
150,150,12.5,450,446,157.2,5911
323,323,4.38,969,262,41.1,5950
150,150,12.5,450,446,152.3,5953
150,150,12.5,450,446,152.3,5953
150,150,12.5,450,446,147,6039
150,150,12.5,450,446,147,6039
200,200,6,695,485,112.1,6060
200,200,6,695,485,112.1,6218
150,150,12.5,450,446,148,6285
150,150,12.5,450,446,148,6285
200,200,6,695,485,112.1,6298
300,300,6,1050,369,40,6298
319,319,6.36,957,618,25.4,6320
319,319,6.36,957,618,25.4,6320
150,150,12.5,450,446,164.1,6409
150,150,12.5,450,446,164.1,6409
300.7,300.7,6.1,902,395,52.2,6494
150,150,8,450,779,152.3,6536
150,150,8,450,779,152.3,6536
265,265,6.47,795,835,25.4,6546
265,265,6.47,795,835,25.4,6546
150,150,8,450,779,147,6616
150,150,8,450,779,147,6616
200,200,6.16,600,781,119,6645
150,150,8,450,779,157.2,6715
150,150,8,450,779,157.2,6715
180,180,9.45,540,825,39.1,6803
180,180,9.45,540,825,39.1,6805
150,150,8,450,779,148,6974
150,150,8,450,779,148,6974
211,211,8.83,633,536,91.1,7008
211,211,8.83,633,536,91.1,7010
265,265,6.47,795,835,41.1,7117
264,264,6.47,792,835,41.1,7117
265,265,6.47,795,835,41.1,7172
265,265,6.47,795,835,41.1,7172
150,150,8,450,779,164.1,7276
150,150,8,450,779,164.1,7276
180,180,9.45,540,825,91.1,7402
180,180,9.45,540,825,91.1,7405
318,318,6.36,954,618,41.1,7473
318,318,6.36,954,618,41.1,7473
198.92,198.92,4.91,1514,762,113,7478
323,323,4.38,969,262,80.3,7481
324,324,4.38,972,262,80.3,7481
260,260,7.1,1000,426,92.4,7488
